,0,1,2,3,4,5
land,-0.086233332686493,-0.04879989093585739,0.02170663072658331,-0.006072023368743544,-0.07158741570410139,-0.15318427231217915
given,-0.007341108528531142,-0.0090637495508979,-0.005478382151481997,0.016028346090178523,0.016958093929122113,0.0019899234279694995
opened,0.016321825833030403,-0.013335166132339376,-0.009279329505381847,0.003690583546156296,-0.03890948032764904,-0.012588342679325732
added,-0.03241900436453054,0.0022538811902414516,-0.021953175460469345,0.00812470591168427,0.011862429610115778,0.003530306629444448
reason,-0.006261256007876887,-0.016680302853739472,0.007282810928543312,0.004188562327278525,0.023183223387646543,0.015980653565363982
forward,0.01932021336042544,-0.010523327945772265,-0.01126686270802565,-0.025437127487176966,-0.02239910875154016,-0.00795644883126957
north,-0.03407371074774352,0.009648278234200582,0.003771117504288417,-0.004355400978063416,0.011594085441657737,-0.025233049475416575
cannot,-0.004413393273927649,-0.003925744678544785,0.016493061773297513,0.008886705518078889,-0.0009898770765961406,-0.013823290277394096
following,-0.01710796773914977,-0.005107966598942468,0.005958192868845988,0.012100887342127786,0.011088004601333848,0.0042174474768984505
red,0.03976773673845053,-0.01599276085263241,-0.002836200112181718,-0.0715197310663607,-0.041941089511000805,-0.04490204781087166
thirty,-0.02611249774941944,0.00885077328363915,0.0007703925047528132,0.003194759807215738,-0.000824568235031859,-0.0020990895955240825
believe,0.000982094443726183,-0.006118200512099355,0.004413402393731075,0.006653093872995802,0.009583931053459227,0.0075005661275219255
answered,-0.03508599734040799,-0.04116365078879755,-0.0342345299967887,0.017672078440005415,0.02739690971450334,-0.008889196997544986
wind,-0.02474181175845573,0.05071889912177467,-0.015656274437660902,-0.03282626050027427,-0.008712001496320333,-0.04542759302371678
country,-0.02060553342789468,0.07849335202418004,-0.020678915524937096,0.0028808898461190305,0.034662191447193944,-0.01981782610899084
evidently,-0.016823364700214817,-0.016808688063834433,-0.002355879420161861,0.0052126598727412175,0.0030674234133861314,-0.0017914826249823866
south,-0.023342797188361856,-0.010335613110664447,-0.004543730413082026,-0.007558932894826551,0.002759348657989302,-0.05558182072977931
natural,-0.005692360381438179,-0.0003204052228452289,0.005525585556062018,-0.0035063741950222813,0.029460257326343553,0.008690823964424646
stopped,0.02522182936462195,-0.01717903921413444,-0.027386717282150003,-0.024236835778890825,-0.03381702424979704,-0.009569129505675204
room,0.06412158667478517,-0.030986702284573304,-0.05682081654842219,0.029405283713707667,-0.07303785834162879,-0.05025422119025662
whether,-0.012857831954201768,-0.01743516609359185,0.011607031983089421,0.030003532267991954,0.025498492734870277,-0.00291884220846841
island,-0.23383481462905314,-0.12217086659308689,-0.1604453106326385,-0.19094048384053286,0.1518759309840852,-0.09063120760314046
eye,0.010654723276915867,-0.004037708225214135,0.02694803645129816,0.0026947140605986003,0.0018281748511916511,-0.0143471848625732
captain,-0.29671045815279123,-0.19021937549102003,0.18486766526544754,0.14524432860017264,-0.2743286411766995,-0.46483146556818516
eight,-0.021024740814272292,9.205657129223016e-05,-0.017414093695318125,0.021469867556325038,-0.016951366231797105,0.007173116637276278
trees,-0.025027042277401462,0.014652317546959413,-0.05270104371048403,-0.1229461917211953,0.03880192396592048,-0.005751998530528553
nature,-0.009340656584311947,-0.010531873550074174,0.011302321263346213,0.011504669498774897,0.028956029849275037,0.022181965871119435
fear,0.005514158426891005,-0.006970681692927349,0.00562578847718125,-0.02681378322929998,0.010107840337897321,-0.009482126827321292
true,-0.01350523347109708,-0.0168336355438205,0.00905220518346232,0.03059552739159523,0.012899579523314681,0.023156477725884042
