term_str,n,pos_max,pos_group,df,dfidf
same,570,JJ,JJ,260,149.19370521014852
old,562,JJ,JJ,189,195.41604573351077
think,555,VB,VB,242,163.9130175664954
towards,551,IN,IN,206,187.39598116600555
quite,550,RB,RB,247,160.01216356625397
companions,549,NNS,NN,194,193.27772130771285
sir,547,NN,NN,163,203.33624111187325
ardan,545,NNP,NN,32,115.07807219662114
yet,537,RB,RB,245,161.59019519975072
appeared,535,VBD,VB,235,169.12311025116148
thought,533,VBD,VB,249,158.410768195006
came,527,VBD,VB,252,155.9652778264125
house,524,NNP,NN,132,204.8370240557463
am,523,VBP,VB,236,168.39702280068633
twenty,523,NN,NN,247,160.01216356625397
therefore,520,RB,RB,211,184.6441097292545
passed,518,VBD,VB,261,148.32206124895126
barbican,516,NNP,NN,24,96.2694541301581
joe,512,NNP,NN,39,129.12071395400432
balloon,511,NN,NN,90,189.3902993833262
seen,509,VBN,VB,238,166.9265342950791
four,507,CD,CD,250,157.60136787058082
going,505,VBG,VB,235,169.12311025116148
themselves,502,PRP,PR,226,175.37843938280432
sun,500,NN,NN,184,197.36351521608114
land,499,NN,NN,159,204.04578133674875
work,498,NN,NN,206,187.39598116600555
enough,496,RB,RB,225,176.04192710865897
while,495,IN,IN,251,156.7861967506032
servadac,495,NNP,NN,41,132.7841478125794
men,494,NNS,NN,223,177.34963793797553
many,491,JJ,JJ,234,169.84305855527535
uncle,485,NN,NN,45,139.69514969166312
why,484,WRB,WR,219,179.88719054296885
distance,482,NN,NN,214,182.91067272505836
ever,481,RB,RB,220,179.26260937634515
course,479,NN,NN,237,167.66482221733784
whole,476,JJ,JJ,245,161.59019519975072
hour,473,NN,NN,232,171.26443255590647
went,470,VBD,VB,228,174.03234117136446
above,469,IN,IN,236,168.39702280068633
already,464,RB,RB,238,166.9265342950791
granite,464,NNP,NN,94,191.91048501987666
answered,457,VBD,VB,162,203.52704002808525
neb,455,NNP,NN,60,161.35794963215352
spilett,455,NNP,NN,60,161.35794963215352
life,451,NN,NN,204,188.44794049127458
find,448,VB,VB,245,161.59019519975072
less,448,JJR,JJ,241,164.67540119938215
perhaps,447,RB,RB,234,169.84305855527535
each,446,DT,DT,224,176.6990028354446
saw,437,VBD,VB,222,177.99380353433557
large,436,JJ,JJ,212,184.07309193521675
river,435,NN,NN,121,202.9565087832477
head,435,NN,NN,225,176.04192710865897
fire,434,NN,NN,167,202.4850724329498
thousand,434,CD,CD,199,190.95346198455155
means,432,NNS,NN,226,175.37843938280432
another,432,DT,DT,237,167.66482221733784
professor,430,NNP,NN,95,192.50174404227892
least,429,JJS,JJ,230,172.66093219600808
continued,425,VBD,VB,214,182.91067272505836
began,425,VBD,VB,227,174.70856802974342
minutes,421,NNS,NN,196,192.37006275772362
exclaimed,421,VBD,VB,195,192.82759126698593
give,420,VB,VB,233,170.5568414772003
projectile,420,NNP,NN,49,146.0925156894309
six,418,CD,CD,222,177.99380353433557
though,417,IN,IN,207,186.85947931953262
oclock,417,NN,NN,213,183.49526895065586
own,416,JJ,JJ,213,183.49526895065586
whose,416,WP$,WP,202,189.47161122530832
certain,415,JJ,JJ,231,171.96580510224948
get,414,VB,VB,219,179.88719054296885
joam,414,NNP,NN,36,123.34553116927552
friends,408,NN,NN,184,197.36351521608114
several,406,JJ,JJ,211,184.6441097292545
fact,405,NN,NN,219,179.88719054296885
nemo,404,NNP,NN,43,136.30677506201943
nor,404,CC,CC,205,187.92547961098765
wind,403,NN,NN,155,204.61012938487679
sailor,400,NN,NN,77,179.3640475896122
also,400,RB,RB,196,192.37006275772362
put,400,VB,VB,228,174.03234117136446
thus,399,RB,RB,232,171.26443255590647
coast,398,NN,NN,144,205.3821246771021
master,398,NN,NN,170,201.75579940114045
heard,395,VBN,VB,201,189.97275105806182
question,391,NN,NN,202,189.47161122530832
against,391,IN,IN,215,182.31933490931428
necessary,391,JJ,JJ,203,188.96332930872452
passepartout,390,NNP,NN,33,117.20925601393657
world,387,NN,NN,197,191.9051735275427
trees,387,NNS,NN,128,204.31228878648452
end,385,NN,NN,214,182.91067272505836
side,385,NN,NN,180,198.7805987666524
country,383,NN,NN,163,203.33624111187325
look,378,NN,NN,205,187.92547961098765
along,376,IN,IN,195,192.82759126698593
harry,376,NNP,NN,39,129.12071395400432
possible,375,JJ,JJ,206,187.39598116600555
benito,375,NNP,NN,34,119.29671510639841
taken,374,VBN,VB,216,181.72128685988343
name,373,NN,NN,189,195.41604573351077
years,369,NNS,NN,169,202.00744405671617
matter,369,NN,NN,199,190.95346198455155
shore,368,NN,NN,127,204.15314381027503
vessel,366,NN,NN,108,198.86064342994172
kennedy,364,NNP,NN,39,129.12071395400432
became,363,VBD,VB,198,191.43296094083053
done,361,VBN,VB,207,186.85947931953262
since,361,IN,IN,206,187.39598116600555
looked,361,VBD,VB,196,192.37006275772362
manoel,360,NNP,NN,34,119.29671510639841
felt,359,VBD,VB,207,186.85947931953262
doubt,357,NN,NN,215,182.31933490931428
able,357,JJ,JJ,205,187.92547961098765
remained,355,VBD,VB,209,185.76560042927724
morning,350,NN,NN,199,190.95346198455155
words,350,NNS,NN,185,196.98953469119817
torres,348,NNP,NN,31,112.90179681848359
lake,347,NN,NN,96,193.07781652063238
returned,347,VBD,VB,173,200.9501444318296
waters,345,NNS,NN,149,205.1761641166551
almost,345,RB,RB,202,189.47161122530832
itself,343,PRP,PR,197,191.9051735275427
longer,340,RBR,RB,185,196.98953469119817
ten,339,JJ,JJ,206,187.39598116600555
always,338,RB,RB,191,194.58333726875438
ground,337,NN,NN,162,203.52704002808525
gave,336,VBD,VB,216,181.72128685988343
hands,336,NNS,NN,209,185.76560042927724
rather,335,RB,RB,204,188.44794049127458
lost,335,VBN,VB,202,189.47161122530832
certainly,333,RB,RB,177,199.75940447287007
reporter,332,NN,NN,59,160.09925570017157
round,331,NN,NN,187,196.21822040001663
thing,329,NN,NN,185,196.98953469119817
tell,327,VB,VB,186,196.60775577676645
ben,327,NNP,NN,42,134.5626380013573
myself,327,PRP,PR,148,205.23698579628817
indeed,326,NN,NN,187,196.21822040001663
among,322,IN,IN,171,201.49566825520563
return,320,VB,VB,170,201.75579940114045
ned,320,NNP,NN,41,132.7841478125794
reached,319,VBD,VB,170,201.75579940114045
set,318,VBN,VB,191,194.58333726875438
top,317,NNP,NN,123,203.40205584903597
board,317,NN,NN,130,204.59685260507428
followed,314,VBD,VB,197,191.9051735275427
become,313,VBN,VB,172,201.22710024807773
next,312,JJ,JJ,188,195.8209700397533
suddenly,312,RB,RB,170,201.75579940114045
open,312,JJ,JJ,191,194.58333726875438
hope,311,NN,NN,178,199.44122588168622
near,311,IN,IN,182,198.08791110211993
north,309,NN,NN,157,204.346334138687
brought,309,VBN,VB,178,199.44122588168622
ayrton,308,NNP,NN,24,96.2694541301581
word,306,NN,NN,191,194.58333726875438
times,305,NNS,NN,157,204.346334138687
observed,305,VBD,VB,144,205.3821246771021
high,304,JJ,JJ,178,199.44122588168622
evening,304,NN,NN,167,202.4850724329498
rocks,302,NNS,NN,133,204.94067364554834
knew,302,VBD,VB,171,201.49566825520563
zoof,300,NNP,NN,36,123.34553116927552
idea,300,NN,NN,176,200.06943220125189
alone,300,RB,RB,184,197.36351521608114
better,299,JJR,JJ,171,201.49566825520563
ready,298,JJ,JJ,181,198.43824030007806
order,297,NN,NN,196,192.37006275772362
ocean,297,NN,NN,127,204.15314381027503
case,295,NN,NN,168,202.25055200542917
gideon,295,NNP,NN,60,161.35794963215352
leave,295,VB,VB,172,201.22710024807773
second,294,JJ,JJ,164,203.1365912503176
reach,291,VB,VB,181,198.43824030007806
mind,291,NN,NN,181,198.43824030007806
both,290,DT,DT,177,199.75940447287007
friend,290,NN,NN,153,204.83669275811903
boat,290,NN,NN,89,188.7206129408431
either,287,CC,CC,173,200.9501444318296
length,287,NN,NN,171,201.49566825520563
young,287,JJ,JJ,124,203.60718727393436
kind,286,NN,NN,167,202.4850724329498
rock,283,NN,NN,128,204.31228878648452
journey,282,NN,NN,145,205.36069658877398
eight,281,CD,CD,178,199.44122588168622
bank,281,NN,NN,116,201.63221627795323
body,281,NN,NN,135,205.11551147763322
horizon,280,NN,NN,149,205.1761641166551
impossible,280,JJ,JJ,161,203.70893336279676
carried,278,VBN,VB,174,200.66484929144866
formed,277,VBD,VB,163,203.33624111187325
starr,276,NNP,NN,20,85.48523322514097
vast,276,JJ,JJ,150,205.1056598472794
south,275,NN,NN,142,205.39485440284142
besides,275,IN,IN,173,200.9501444318296
neither,274,DT,DT,173,200.9501444318296
heat,274,NN,NN,116,201.63221627795323
travellers,274,NNS,NN,80,181.94093290056384
called,273,VBN,VB,173,200.9501444318296
room,273,NN,NN,124,203.60718727393436
conseil,271,NNP,NN,40,130.97046645028192
nature,270,NN,NN,168,202.25055200542917
use,270,NN,NN,161,203.70893336279676
count,269,NN,NN,69,171.64890565627064
until,269,IN,IN,179,199.11494221954754
full,268,JJ,JJ,172,201.22710024807773
around,268,IN,IN,147,205.28805946228275
atmosphere,268,NN,NN,122,203.18519506694594
nearly,267,RB,RB,177,199.75940447287007
whom,267,WP,WP,156,204.48285581601726
sight,266,NN,NN,154,204.7280951792244
height,265,NN,NN,141,205.38601492813197
added,264,VBD,VB,174,200.66484929144866
fell,263,VBD,VB,168,202.25055200542917
known,263,VBN,VB,182,198.08791110211993
present,262,JJ,JJ,148,205.23698579628817
colonists,261,NNS,NN,51,149.11198512281862
voice,261,NN,NN,160,203.8818658011277
keep,260,VB,VB,163,203.33624111187325
does,260,VBZ,VB,158,204.20062325883458
dont,259,NN,NN,133,204.94067364554834
mouth,258,NN,NN,137,205.24760122619207
iron,258,NN,NN,120,202.715899264307
fix,257,NNP,NN,50,147.61667831848428
degrees,255,NNS,NN,115,201.33046609800402
thirty,253,NN,NN,157,204.346334138687
others,252,NNS,NN,164,203.1365912503176
bottom,251,NN,NN,126,203.98263891320624
everything,251,NN,NN,144,205.3821246771021
arrived,251,VBD,VB,153,204.83669275811903
scarcely,251,RB,RB,176,200.06943220125189
face,251,NN,NN,151,205.025537539719
mountain,249,NN,NN,86,186.61355012403885
rose,249,VBD,VB,166,202.7109539163826
making,248,VBG,VB,169,202.00744405671617
kept,245,VBD,VB,169,202.00744405671617
direction,244,NN,NN,153,204.83669275811903
taking,244,VBG,VB,176,200.06943220125189
lieutenant,243,NN,NN,47,142.95524250993833
reply,243,NN,NN,144,205.3821246771021
whether,241,IN,IN,149,205.1761641166551
given,241,VBN,VB,158,204.20062325883458
waves,240,NNS,NN,107,198.45533636252918
fifty,240,JJ,JJ,147,205.28805946228275
cannot,238,VBP,VB,148,205.23698579628817
true,238,JJ,JJ,159,204.04578133674875
phileas,237,NNP,NN,36,123.34553116927552
disappeared,236,VBD,VB,150,205.1056598472794
easily,235,RB,RB,149,205.1761641166551
enormous,234,JJ,JJ,152,204.93586089052536
cold,234,NN,NN,112,200.34950141772228
small,234,JJ,JJ,159,204.04578133674875
state,234,NN,NN,147,205.28805946228275
best,232,JJS,JJ,153,204.83669275811903
terrible,232,JJ,JJ,131,204.72244485351177
because,232,IN,IN,135,205.11551147763322
coal,232,NN,NN,68,170.59343021279682
below,231,IN,IN,142,205.39485440284142
something,230,NN,NN,146,205.32931880060138
west,230,NN,NN,123,203.40205584903597
evidently,229,RB,RB,150,205.1056598472794
really,228,RB,RB,154,204.7280951792244
midst,227,NN,NN,154,204.7280951792244
gun,227,NN,NN,87,187.33242464572433
covered,226,VBN,VB,153,204.83669275811903
anything,226,NN,NN,135,205.11551147763322
want,226,VBP,VB,135,205.11551147763322
lincoln,225,NNP,NN,59,160.09925570017157
black,224,JJ,JJ,122,203.18519506694594
speak,223,VB,VB,144,205.3821246771021
stopped,223,VBD,VB,123,203.40205584903597
number,223,NN,NN,122,203.18519506694594
ah,222,NN,NN,150,205.1056598472794
heart,222,NN,NN,148,205.23698579628817
dear,222,JJ,JJ,117,201.92152927763766
mass,222,NN,NN,130,204.59685260507428
seven,221,CD,CD,146,205.32931880060138
together,221,RB,RB,169,202.00744405671617
within,221,IN,IN,140,205.36694348792216
mountains,220,NNS,NN,97,193.63886065385643
beneath,220,IN,IN,122,203.18519506694594
town,220,NN,NN,96,193.07781652063238
raft,220,NN,NN,49,146.0925156894309
reason,219,NN,NN,142,205.39485440284142
wood,219,NN,NN,87,187.33242464572433
rest,218,NN,NN,146,205.32931880060138
interior,218,NN,NN,121,202.9565087832477
boy,218,NN,NN,109,199.25259201905573
judge,217,NNP,NN,62,163.80359363696718
got,217,VBD,VB,143,205.39353396934098
fellow,217,NN,NN,136,205.18686042559364
settlers,215,NNS,NN,46,141.3408788040203
following,214,VBG,VB,152,204.93586089052536
fragoso,214,NNP,NN,26,101.28950098808627
silence,214,NN,NN,130,204.59685260507428
temperature,213,NN,NN,98,194.18503137886182
turned,212,VBD,VB,141,205.38601492813197
short,212,JJ,JJ,156,204.48285581601726
human,210,JJ,JJ,125,203.8006839352904
weight,210,NN,NN,107,198.45533636252918
mean,210,VB,VB,131,204.72244485351177
turn,209,NN,NN,150,205.1056598472794
different,209,JJ,JJ,145,205.36069658877398
forest,208,NN,NN,86,186.61355012403885
immense,208,JJ,JJ,124,203.60718727393436
animals,208,NNS,NN,104,197.15800395234507
often,207,RB,RB,128,204.31228878648452
believe,207,VB,VB,140,205.36694348792216
poor,206,JJ,JJ,119,202.46326714753954
beyond,206,IN,IN,134,205.03347580200946
foot,206,NN,NN,141,205.38601492813197
sort,205,NN,NN,144,205.3821246771021
eye,204,NN,NN,125,203.8006839352904
toward,204,IN,IN,75,177.55282992363973
soil,203,NN,NN,105,197.6041450402202
arms,203,NNS,NN,139,205.3375669955055
exactly,203,RB,RB,128,204.31228878648452
corral,203,NN,NN,24,96.2694541301581
fall,201,NN,NN,114,201.01617058568223
deep,201,JJ,JJ,135,205.11551147763322
natural,201,JJ,JJ,145,205.36069658877398
power,201,NN,NN,125,203.8006839352904
care,200,NN,NN,139,205.3375669955055
entered,200,VBD,VB,145,205.36069658877398
document,198,NN,NN,41,132.7841478125794
mine,198,NN,NN,61,162.59259753347297
later,198,RB,RB,149,205.1761641166551
position,197,NN,NN,132,204.8370240557463
although,197,IN,IN,126,203.98263891320624
struck,197,VBD,VB,132,204.8370240557463
looking,197,VBG,VB,139,205.3375669955055
according,197,VBG,VB,143,205.39353396934098
things,197,NNS,NN,143,205.39353396934098
car,196,NN,NN,60,161.35794963215352
lay,195,VBD,VB,130,204.59685260507428
past,195,JJ,JJ,131,204.72244485351177
passage,195,NN,NN,117,201.92152927763766
rapidly,195,RB,RB,129,204.46016259302914
clear,195,JJ,JJ,136,205.18686042559364
animal,194,NN,NN,83,184.3554769581913
strange,194,JJ,JJ,130,204.59685260507428
dacosta,193,NNP,NN,20,85.48523322514097
behind,193,IN,IN,138,205.2978113125413
close,192,RB,RB,132,204.8370240557463
placed,192,VBN,VB,133,204.94067364554834
instant,192,NN,NN,132,204.8370240557463
white,192,JJ,JJ,121,202.9565087832477
speed,192,NN,NN,103,196.69799058300276
immediately,192,RB,RB,132,204.8370240557463
months,192,NNS,NN,118,202.19851140034316
dark,191,JJ,JJ,111,199.99690176716777
shot,190,NN,NN,105,197.6041450402202
rays,190,NNS,NN,109,199.25259201905573
general,190,JJ,JJ,126,203.98263891320624
further,190,JJ,JJ,125,203.8006839352904
amazon,190,NNP,NN,37,125.30924644907203
fine,190,JJ,JJ,122,203.18519506694594
opened,189,VBD,VB,129,204.46016259302914
carefully,187,RB,RB,125,203.8006839352904
easy,187,JJ,JJ,128,204.31228878648452
understand,187,VB,VB,127,204.15314381027503
wait,187,VB,VB,118,202.19851140034316
worthy,186,JJ,JJ,128,204.31228878648452
garral,186,NNP,NN,25,98.80833915924214
road,186,NN,NN,96,193.07781652063238
death,185,NN,NN,99,194.7164804704153
east,185,NN,NN,113,200.68921969140217
english,185,NNP,NN,98,194.18503137886182
oh,184,NN,NN,114,201.01617058568223
door,184,NN,NN,95,192.50174404227892
space,184,NN,NN,108,198.86064342994172
barbicane,183,NNP,NN,26,101.28950098808627
lunar,183,NN,NN,35,121.34173587198053
line,183,NN,NN,118,202.19851140034316
hardly,182,RB,RB,90,189.3902993833262
difficult,182,JJ,JJ,120,202.715899264307
received,181,VBN,VB,134,205.03347580200946
thick,181,JJ,JJ,114,201.01617058568223
people,181,NNS,NN,118,202.19851140034316
sand,180,NN,NN,77,179.3640475896122
chance,180,NN,NN,116,201.63221627795323
bed,180,NN,NN,97,193.63886065385643
escape,179,VB,VB,113,200.68921969140217
fear,179,NN,NN,127,204.15314381027503
wish,179,VB,VB,120,202.715899264307
wild,179,JJ,JJ,116,201.63221627795323
completely,179,RB,RB,122,203.18519506694594
follow,179,VB,VB,132,204.8370240557463
strong,178,JJ,JJ,129,204.46016259302914
till,178,NN,NN,115,201.33046609800402
spot,177,NN,NN,124,203.60718727393436
answer,177,NN,NN,108,198.86064342994172
difficulty,177,NN,NN,126,203.98263891320624
yards,177,NNS,NN,81,182.76352001404265
sky,177,NN,NN,106,198.03654596760836
gas,176,NN,NN,68,170.59343021279682
sometimes,176,RB,RB,108,198.86064342994172
cut,176,VBN,VB,118,202.19851140034316
held,176,VBD,VB,131,204.72244485351177
form,176,NN,NN,130,204.59685260507428
leagues,175,NNS,NN,73,175.6646594003007
james,175,NNP,NN,30,110.67897481607676
perfectly,174,RB,RB,132,204.8370240557463
red,173,JJ,JJ,102,196.2239702456373
object,173,NN,NN,113,200.68921969140217
gone,173,VBN,VB,124,203.60718727393436
nell,173,NNP,NN,8,44.76951804915528
hear,173,VB,VB,112,200.34950141772228
discovered,173,VBN,VB,120,202.715899264307
sides,172,NNS,NN,109,199.25259201905573
stream,172,NN,NN,96,193.07781652063238
dead,172,JJ,JJ,93,191.30387788838325
considerable,172,JJ,JJ,127,204.15314381027503
hans,172,NNP,NN,34,119.29671510639841
perfect,171,JJ,JJ,130,204.59685260507428
existence,171,NN,NN,117,201.92152927763766
result,171,NN,NN,123,203.40205584903597
depths,171,NNS,NN,108,198.86064342994172
lower,171,JJR,JJ,117,201.92152927763766
mercy,171,NNP,NN,62,163.80359363696718
lava,171,NN,NN,46,141.3408788040203
nine,170,CD,CD,117,201.92152927763766
mnicholl,170,NNP,NN,20,85.48523322514097
pounds,169,NNS,NN,69,171.64890565627064
wished,169,VBD,VB,112,200.34950141772228
escaped,169,VBD,VB,119,202.46326714753954
jack,169,NNP,NN,19,82.61698261131568
twelve,169,NN,NN,115,201.33046609800402
pass,169,VB,VB,121,202.9565087832477
club,169,NNP,NN,59,160.09925570017157
help,168,VB,VB,107,198.45533636252918
sound,168,NN,NN,104,197.15800395234507
upper,167,JJ,JJ,113,200.68921969140217
sure,167,JJ,JJ,119,202.46326714753954
level,167,NN,NN,105,197.6041450402202
ought,167,MD,MD,103,196.69799058300276
current,166,JJ,JJ,92,190.68175760804056
forty,166,JJ,JJ,113,200.68921969140217
force,166,NN,NN,109,199.25259201905573
probably,166,RB,RB,111,199.99690176716777
across,166,IN,IN,110,199.63130468817255
cause,165,NN,NN,125,203.8006839352904
voyage,165,NN,NN,93,191.30387788838325
rising,165,VBG,VB,111,199.99690176716777
birds,165,NNS,NN,77,179.3640475896122
magnificent,165,JJ,JJ,117,201.92152927763766
calm,164,NN,NN,129,204.46016259302914
presence,164,NN,NN,107,198.45533636252918
ship,163,NN,NN,82,183.56829562515878
sleep,162,NN,NN,95,192.50174404227892
leaving,162,VBG,VB,113,200.68921969140217
remain,162,VB,VB,107,198.45533636252918
rate,162,NN,NN,110,199.63130468817255
gallia,161,NNP,NN,28,106.08737535443058
forward,161,RB,RB,106,198.03654596760836
single,161,JJ,JJ,119,202.46326714753954
thrown,160,VBN,VB,110,199.63130468817255
greater,160,JJR,JJ,107,198.45533636252918
attention,159,NN,NN,128,204.31228878648452
important,159,JJ,JJ,114,201.01617058568223
showed,158,VBD,VB,109,199.25259201905573
glass,158,NN,NN,87,187.33242464572433
tree,158,NN,NN,75,177.55282992363973
train,158,NN,NN,47,142.95524250993833
